Date,Open,High,Low,Close,Volume
12/15/2023,"467.30","473.00","467.30","472.06","7,840,992"
12/14/2023,"480.36","480.76","464.76","469.83","5,176,437"
12/13/2023,"461.98","481.25","461.98","479.98","5,820,192"
12/12/2023,"465.23","465.61","459.20","463.00","3,302,660"
12/11/2023,"459.36","470.65","457.21","459.89","4,929,662"
12/08/2023,"450.76","455.50","450.76","453.76","3,458,384"
12/07/2023,"450.85","452.89","448.32","452.00","3,506,722"
12/06/2023,"460.00","460.50","445.73","446.73","4,178,755"
12/05/2023,"450.70","456.39","449.58","455.15","3,380,674"
12/04/2023,"460.99","461.20","451.20","453.90","5,157,713"
12/01/2023,"473.17","475.23","464.60","465.74","4,341,471"
11/30/2023,"475.31","478.59","470.42","473.97","4,287,349"
11/29/2023,"479.00","480.99","474.49","477.19","2,855,540"
11/28/2023,"478.11","480.50","475.95","479.00","2,890,164"
11/27/2023,"479.03","482.00","475.35","479.17","3,625,924"
11/24/2023,"477.11","480.40","475.20","479.56","1,404,732"
11/22/2023,"476.80","482.70","476.56","478.00","2,843,891"
11/21/2023,"472.63","477.02","471.21","474.95","2,997,723"
11/20/2023,"465.40","476.76","465.40","474.47","3,621,095"
11/17/2023,"466.95","467.65","462.76","465.91","2,800,214"
11/16/2023,"463.00","467.28","459.65","466.95","3,655,974"
11/15/2023,"452.81","462.75","452.45","461.94","5,035,283"
